term_id	cluster	term_name	intersection
200	GO:0001912	1	positive regulation of leukocyte mediated cytotoxicity	B2M,CRTAM,FAM49B,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,LAG3,LAMP1,MR1,PTPRC,STX7,TYROBP
201	GO:0002687	1	positive regulation of leukocyte migration	AIF1,C1QBP,C3AR1,CALR,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD47,CD74,CREB3,CXCL10,DOCK8,HMGB1,IL8,ITGA4,LGALS3,LGALS9,LGMN,MAPK1,MDK,MIA3,NCKAP1L,P2RX4,RTN4,SPN,TGFB1,TNFRSF14
202	GO:0040017	1	positive regulation of locomotion	ACTA2,ACTG1,AIF1,ANXA1,BMPR2,BSG,C1QBP,C3AR1,CALR,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD40,CD47,CD74,CIB1,CORO1A,CREB3,CRK,CXCL10,CXCR4,DOCK8,FERMT3,GCNT2,GLIPR2,GRN,HDAC7,HIF1A,HMGB1,HRAS,HSPB1,IL1B,IL8,ITGA4,ITGB1,JAK2,LGALS3,LGALS9,LGMN,MALAT1,MAPK1,MDK,MIA3,NCKAP1L,NFE2L2,NUMB,P2RX4,PDCD10,PDCD6,PFN1,PRKD2,PTP4A1,PTPRC,RAB11A,RDX,RHOC,RTN4,S100A11,SDCBP,SOD2,SPN,SSH2,STAT3,STAT5A,STX3,SUN2,TGFB1,TGFBR2,TNFRSF14,TRADD,TRIP6
203	GO:0051251	1	positive regulation of lymphocyte activation	ADA,AIF1,ANXA1,B2M,BAD,CCL2,CCL5,CCR7,CD38,CD4,CD40,CD47,CD55,CD74,CD83,CD86,CORO1A,DOCK8,EBI3,FAM49B,GPR183,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HMGB1,HSPD1,HSPH1,IL15,IL15RA,IL1B,IL4I1,IL7R,JAK2,KAT5,LAMP1,LGALS1,LGALS9,LYN,MDK,MYD88,NCK1,NCKAP1L,PELI1,PNP,PPP2R3C,PTPRC,RASAL3,RIF1,RIPK2,RPS3,SH3KBP1,SOCS1,TGFB1,TGFBR2,TICAM1,TNFRSF14,TNFSF13B,TYK2,TYROBP,VAV1,XBP1,XRCC6
204	GO:0044093	1	positive regulation of molecular function	ABI1,ABL2,AHSA1,AIM2,AKAP7,AKIRIN2,ANP32B,ANXA2,APH1B,ARAP2,ARHGAP25,ARHGAP27,ARID5B,ARL6IP5,ATP1B3,B2M,BAD,BAK1,BCL2L13,BID,BIN1,BMPR2,C9orf72,CARD16,CASP1,CASP10,CASP8,CAT,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD4,CD40,CD44,CD74,CD86,CDC25B,CFLAR,CHTOP,CIB1,CNPY2,COX17,CRK,CTSD,CTSS,CYBA,DBI,DCP1A,DDX3X,DDX58,DENND1B,DERL1,DHX9,DOCK8,DPH3,DTX3L,EDF1,EIF2AK2,EIF3D,EIF3E,ERP29,FAS,FGD2,FKBP1A,FLOT1,FMR1,GCH1,GCLM,GLRX,GMIP,GNAI3,GRN,GSTO1,GTF2B,HCLS1,HDAC1,HIF1A,HLA-DRB1,HMGB1,HNRNPA2B1,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPD1,HSPE1,IFI16,IKBKE,IL1B,ISCU,ITGB1,ITGB2,JAK2,JTB,LAPTM5,LCP2,LGALS9,LGMN,LIMS1,LMO4,LYN,MAP3K13,MAPK1,MASTL,MED25,MID1IP1,MOB1A,MOB3C,MTCH1,MYD88,NBN,NCF1,NCKAP1L,NDUFA13,NDUFA4,NMD3,NPM1,PARK7,PARP9,PDCD10,PDCD6,PFN1,PHACTR4,PHB,PHB2,PINK1,PLAUR,PLEK,PLSCR1,PMAIP1,PML,POR,PPP1R15A,PPP2R3C,PRDX3,PRKD2,PSENEN,PSMA6,PSMD14,PSME1,PSME2,PTPRC,RAB3GAP1,RABGAP1L,RALB,RASGEF1B,RASGRP3,RB1,RBCK1,RELA,RGCC,RHOC,RHOG,RICTOR,RIPK1,RIPK2,RPLP1,RPS2,RPS27L,RPS3,S100A10,S100A8,S100A9,S1PR4,SGK1,SIPA1L1,SKI,SLC11A2,SOCS1,SOD1,SORL1,SP100,STAP1,STAT3,TAB2,TANK,TAX1BP3,TBC1D1,TBC1D10C,TBC1D17,TBC1D7,TGFB1,TGFBR2,TICAM1,TMSB4X,TNFSF10,TRADD,TRIM14,TRIM21,TRIM22,TRIM25,TRIM26,TRIM38,TRIM5,TRIM8,TXN,UBE2I,VAV1,WDR41,XRCC6,YWHAB
205	GO:0051240	1	positive regulation of multicellular organismal process	ADA,AIF1,AIM2,AKIRIN2,ANXA1,ANXA2,APPL1,ARID5A,ARRB2,ATP1A1,ATP2B1,ATP6AP2,B2M,BAD,BIN1,BMPR2,BSG,BTG1,BTN3A1,C1QBP,C3AR1,CASP1,CASP8,CCL3,CCR7,CD14,CD2,CD27,CD38,CD3E,CD4,CD40,CD55,CD74,CD83,CD86,CEBPB,CFL1,CIB1,CITED2,CRTAM,CTNNBIP1,CTSH,CXCR3,CXCR4,CYBA,DDX1,DDX21,DDX3X,DDX58,DECR1,DENND1B,DHX58,DHX9,EBI3,EIF2AK2,EIF4G2,ENO1,EZR,FABP5,FAM49B,FCER1G,FLOT1,FOS,GAPDH,GBP5,GCH1,GCNT2,GLIPR2,GOLGA4,GRN,GSDMD,GSTO1,HAX1,HCLS1,HDAC1,HIF1A,HIPK2,HK1,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HMGB1,HMGB2,HPSE,HRAS,HSP90AA1,HSPA1A,HSPA1B,HSPB1,HSPD1,ID2,IDO1,IFI16,IFIH1,IFNGR1,IL15,IL15RA,IL16,IL1B,IL23A,IL4I1,IL7R,IL8,IRF1,IRF7,IRF8,ISG15,ITGB1,JAK1,JAK2,KAT5,KDM6B,LAPTM5,LGALS9,LYN,MAP3K13,MAPK13,MDK,MEF2A,MNDA,MYC,MYD88,NCKAP1L,NFE2L2,NINJ1,NUMB,OAS1,OAS2,OAS3,PAFAH1B1,PARK7,PDCD6,PDE4B,PELI1,PHB,PIM1,PKM,PLAC8,PNP,POR,PPP2R3C,PQBP1,PRDX2,PRKD2,PTGER4,PTPRC,RAB11A,RAB1A,RAB8B,RB1,RBPJ,RELA,RGCC,RGS14,RGS2,RHEB,RIF1,RIPK1,RIPK2,RPS3,RSAD2,RTN4,SCIMP,SDCBP,SERP1,SOCS1,SOD1,SORL1,SPN,STAT1,STAT3,TBK1,TESPA1,TGFB1,TGFBR2,TICAM1,TLR7,TMBIM1,TMEM106A,TNFRSF14,TNFRSF1B,TRADD,TRIM56,TRPV2,TSPO,TWF2,TYK2,TYROBP,UCP2,VAMP8,XBP1,XRCC5,XRCC6,YBX3,ZC3HAV1,ZFP36L1
206	GO:0051092	1	positive regulation of NF-kappaB transcription factor activity	AIM2,CARD16,CD40,CFLAR,EIF2AK2,HSPA1A,HSPA1B,LGALS9,MAP3K13,MYD88,PRKD2,RBCK1,RIPK2,TRADD,TRIM14,TRIM21,TRIM22,TRIM25
207	GO:0062208	1	positive regulation of pattern recognition receptor signaling pathway	CYBA,DDX3X,DDX60,DHX58,FLOT1,HSPA1A,HSPA1B,IFI35,NINJ1,OASL,PELI1,RSAD2,RTN4,USP15,WDFY1,ZC3HAV1
208	GO:0010952	1	positive regulation of peptidase activity	AIM2,AKIRIN2,ANP32B,APH1B,ARL6IP5,BAD,BAK1,BCL2L13,BID,CASP1,CASP10,CASP8,CFLAR,CTSD,DDX3X,FAS,GRN,HMGB1,HSPD1,HSPE1,IFI16,JAK2,LAPTM5,LGALS9,LGMN,MTCH1,NDUFA13,PDCD6,PINK1,PMAIP1,PML,PSENEN,PSMD14,PSME1,PSME2,RIPK2,RPS27L,RPS3,S100A8,S100A9,SLC11A2,STAT3,TANK,TNFSF10
209	GO:0060760	1	positive regulation of response to cytokine stimulus	CASP1,CASP4,CD74,DDX58,HIF1A,HSPA1A,IFIH1,IKBKE,IRF7,LAPTM5,NLRC5,PAFAH1B1,PARP14,PARP9,RIPK1,RIPK2,TBK1,TRIM44,TRIM56,ZBP1
210	GO:0048584	1	positive regulation of response to stimulus	ACTA2,ACTB,ACTG1,ADA,AIF1,AIM2,AKAP13,AKIRIN2,AKR1C3,ALOX5AP,ANXA1,APOL3,APPL1,ARHGEF3,ARID5A,ARL6IP5,ARRB2,ATF3,ATP6AP2,B2M,BAD,BAK1,BCL2L14,BID,BIRC2,BIRC3,BMPR2,BST2,BTN3A1,C1QBP,C3AR1,CALR,CAMTA1,CARD16,CASP1,CASP10,CASP4,CASP8,CAT,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD14,CD27,CD38,CD3E,CD4,CD40,CD44,CD47,CD55,CD63,CD74,CD79A,CD86,CD8B,CDC73,CEBPB,CFLAR,CIB1,CITED2,CREB3,CRLF3,CRTAM,CTSC,CTSH,CXCL10,CXCR3,CXCR4,CYBA,CYLD,DDX1,DDX21,DDX3X,DDX5,DDX58,DDX60,DEDD2,DENND1B,DHX58,DHX9,DTX3L,EEF1D,EIF2AK2,EIF5A,ELF1,ERP29,EZR,FABP5,FAM49B,FAS,FBXL15,FCER1G,FGD2,FKBP1A,FLNA,FLOT1,FMR1,FYN,GADD45B,GAPDH,GBP1,GBP5,GCNT2,GLIPR2,GPR137B,GPR183,GPX1,GRN,HAX1,HCLS1,HCST,HERPUD1,HIF1A,HINT1,HIPK2,HLA-A,HLA-B,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HMGB1,HMGB2,HPSE,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPB1,HSPD1,IDO1,IFI16,IFI35,IFIH1,IFIT5,IFNG,IGFBP4,IGLL5,IKBKE,IL10RA,IL15,IL16,IL1B,IL23A,IL7R,IL8,ILK,IRF7,ITGB1,ITGB2,ITM2C,JAK2,JUN,KAT5,KCNN4,KHDRBS1,KLF2,KLHL6,LAG3,LAMP1,LAMTOR1,LAMTOR4,LAPTM5,LCK,LCP2,LGALS1,LGALS3,LGALS9,LGMN,LIMS1,LITAF,LPAR6,LYN,MAD1L1,MAP2K3,MAP3K13,MAPK1,MAPK13,MCL1,MDK,MICB,MIER1,MNDA,MORF4L1,MR1,MYC,MYD88,MYO1G,NCF1,NCK1,NCKAP1L,NDFIP1,NEAT1,NFE2L2,NFKBIA,NINJ1,NLRC5,NMI,NSMCE1,NUP62,OASL,OPTN,P2RX4,PAFAH1B1,PARK7,PARP14,PARP9,PBXIP1,PDCD10,PDCD4,PDE4B,PDIA3,PELI1,PHB,PHB2,PHPT1,PIM2,PINK1,PLAUR,PLSCR1,PMAIP1,PML,POR,PPP1CA,PQBP1,PRDX2,PRKD2,PRMT1,PRR5,PSMA3,PSMA4,PSMA5,PSMA6,PSMB10,PSMB3,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PTGER4,PTPRC,RAB34,RAB7L1,RAC2,RAD9A,RAP1B,RB1CC1,RBCK1,RBM14,RBPJ,RELA,RGCC,RHEB,RHOC,RICTOR,RIF1,RIPK1,RIPK2,RNF13,RNF168,RPL23,RPL26,RPS12,RPS15,RPS19,RPS3,RPS7,RRAGC,RSAD2,RTN4,S100A4,S100A8,S100A9,SCIMP,SDCBP,SHISA5,SKI,SLC44A2,SMCHD1,SOCS1,SOD1,SORL1,SPG21,STAP1,STAT3,STK24,STX3,STX7,TAB2,TAF9,TBK1,TESPA1,TFG,TGFBR2,THEMIS2,TICAM1,TLR7,TMED4,TMEM106A,TMEM9B,TMSB4X,TNFAIP3,TNFRSF1A,TNFSF10,TNFSF13B,TNKS2,TRADD,TRAF3,TRAT1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM38,TRIM44,TRIM5,TRIM56,TRIM8,TRIP6,TXN,TYK2,TYROBP,UBB,UBE2B,UBE2I,UBE3A,UBQLN2,USP15,VAMP8,VAV1,VDAC1,WAS,WDFY1,XBP1,XIAP,XRCC5,XRCC6,ZBP1,ZC3HAV1,ZNFX1
211	GO:0023056	1	positive regulation of signaling	ACTA2,ADA,AKAP13,AKR1C3,ANXA2,APOL3,ARHGEF3,ARL6IP5,ARRB2,ATF3,ATP6AP2,BAD,BAK1,BCL2L14,BID,BIRC2,BIRC3,BMPR2,BST2,C1QBP,CA2,CALR,CAMTA1,CARD16,CASP1,CASP10,CASP4,CASP8,CAT,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD14,CD27,CD38,CD3E,CD4,CD40,CD44,CD63,CD74,CD86,CDC73,CFLAR,CIB1,CITED2,CRLF3,CTSC,CTSH,CXCR4,CYBA,CYLD,DDX1,DDX21,DDX3X,DDX5,DDX60,DEDD2,DHX58,DTNBP1,EEF1D,EIF2AK2,EIF5A,ERP29,FABP5,FAS,FBXL15,FGD2,FKBP1A,FLNA,FLOT1,FMR1,FYN,GADD45B,GAPDH,GCNT2,GLIPR2,GLUL,GPR137B,GPR183,GPX1,HAX1,HCLS1,HCST,HIF1A,HINT1,HIPK2,HLA-DRB1,HMGB1,HPSE,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,IFI35,IFIT5,IGFBP4,IKBKE,IL10RA,IL1B,IL23A,IL7R,ILK,IRF7,ITGB1,ITM2C,JAK2,JUN,KCNN4,KLF2,LAMTOR1,LAMTOR4,LAPTM5,LCK,LGALS1,LGALS9,LGMN,LIMS1,LITAF,LPAR6,LYN,MAD1L1,MAP2K3,MAP3K13,MAPK1,MCL1,MIER1,MYC,MYD88,NCF1,NCK1,NCKAP1L,NDFIP1,NINJ1,NLRC5,NMB,NMI,NUP62,OASL,P2RX4,PAFAH1B1,PARK7,PARP14,PARP9,PBXIP1,PDCD10,PDIA3,PELI1,PHB,PHB2,PIM2,PINK1,PLAUR,PMAIP1,PML,POR,PPP1CA,PRDX2,PRKD2,PRMT1,PRR5,PSMA3,PSMA4,PSMA5,PSMA6,PSMB10,PSMB3,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PTPRC,RAB34,RAB3GAP1,RAB7L1,RAB8B,RAD9A,RAP1B,RB1CC1,RBCK1,RBPJ,RELA,RGS14,RHEB,RHOC,RICTOR,RIPK1,RIPK2,RNF13,RPL23,RPL26,RPS12,RPS15,RPS3,RPS7,RRAGC,RSAD2,RTN4,S100A4,S100A8,S100A9,SCIMP,SDCBP,SERP1,SHISA5,SKI,SLC44A2,SOCS1,SOD1,SORL1,SQSTM1,SRI,STAP1,STAT3,STX3,TAB2,TBK1,TESPA1,TFG,TGFBR2,TICAM1,TLR7,TMED4,TMEM106A,TMEM9B,TNFAIP3,TNFRSF1A,TNFSF10,TNKS2,TRADD,TRAF3,TRAT1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM38,TRIM44,TRIM5,TRIM56,TRIM8,TRIP6,TXN,TYK2,TYROBP,UBB,UBE2B,UBE2I,UBE3A,USP15,VAMP2,VAMP8,WDFY1,XBP1,ZBP1,ZC3HAV1
212	GO:0009967	1	positive regulation of signal transduction	ACTA2,ADA,AKAP13,AKR1C3,APOL3,ARHGEF3,ARL6IP5,ARRB2,ATF3,ATP6AP2,BAD,BAK1,BCL2L14,BID,BIRC2,BIRC3,BMPR2,BST2,C1QBP,CALR,CAMTA1,CARD16,CASP1,CASP10,CASP4,CASP8,CAT,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CD14,CD27,CD3E,CD4,CD40,CD44,CD63,CD74,CD86,CDC73,CFLAR,CIB1,CITED2,CRLF3,CTSC,CTSH,CXCR4,CYBA,CYLD,DDX1,DDX21,DDX3X,DDX5,DDX60,DEDD2,DHX58,EEF1D,EIF2AK2,EIF5A,ERP29,FABP5,FAS,FBXL15,FGD2,FKBP1A,FLNA,FLOT1,FYN,GADD45B,GAPDH,GCNT2,GLIPR2,GPR137B,GPR183,GPX1,HAX1,HCLS1,HCST,HIF1A,HINT1,HIPK2,HLA-DRB1,HMGB1,HPSE,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,IFI35,IFIT5,IGFBP4,IKBKE,IL10RA,IL1B,IL23A,IL7R,ILK,IRF7,ITGB1,ITM2C,JAK2,JUN,KCNN4,KLF2,LAMTOR1,LAMTOR4,LAPTM5,LCK,LGALS1,LGALS9,LIMS1,LITAF,LPAR6,LYN,MAD1L1,MAP2K3,MAP3K13,MCL1,MIER1,MYC,MYD88,NCF1,NCK1,NCKAP1L,NDFIP1,NINJ1,NLRC5,NMI,NUP62,OASL,P2RX4,PAFAH1B1,PARK7,PARP14,PARP9,PBXIP1,PDCD10,PDIA3,PELI1,PHB,PHB2,PIM2,PINK1,PLAUR,PMAIP1,PML,POR,PPP1CA,PRDX2,PRKD2,PRMT1,PRR5,PSMA3,PSMA4,PSMA5,PSMA6,PSMB10,PSMB3,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PTPRC,RAB34,RAB7L1,RAD9A,RAP1B,RB1CC1,RBCK1,RBPJ,RELA,RHEB,RHOC,RICTOR,RIPK1,RIPK2,RNF13,RPL23,RPL26,RPS12,RPS15,RPS3,RPS7,RRAGC,RSAD2,RTN4,S100A4,S100A8,S100A9,SCIMP,SDCBP,SHISA5,SKI,SLC44A2,SOCS1,SOD1,SORL1,STAP1,STAT3,TAB2,TBK1,TESPA1,TFG,TGFBR2,TICAM1,TLR7,TMED4,TMEM106A,TMEM9B,TNFAIP3,TNFRSF1A,TNFSF10,TNKS2,TRADD,TRAF3,TRAT1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM38,TRIM44,TRIM5,TRIM56,TRIM8,TRIP6,TXN,TYK2,UBB,UBE2B,UBE2I,UBE3A,USP15,WDFY1,XBP1,ZBP1,ZC3HAV1
213	GO:0050870	1	positive regulation of T cell activation	ANXA1,B2M,CCL2,CCR7,CD47,CD74,CD83,CD86,DOCK8,EBI3,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DRB1,HLA-E,IL15,LGALS9,LYN,MDK,RIPK2,SOCS1,TNFSF13B,XBP1
214	GO:0001916	1	positive regulation of T cell mediated cytotoxicity	B2M,FAM49B,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,MR1,PTPRC,STX7
215	GO:0051050	1	positive regulation of transport	ACTB,ANKFY1,ANP32B,ANXA1,ANXA2,APPL1,ARL6IP1,ARPP19,ARRB2,ATP1B3,ATP2B1,AZIN1,B2M,BAD,BAK1,BIN1,BSG,CA2,CALR,CCL2,CCL3,CCL4,CCL5,CD14,CD2AP,CD38,CD47,CD63,CEBPB,CIB1,COX17,CREB3,CREBL2,CREBRF,CTSS,CXCL10,CXCL11,CYBA,DHX9,DTNBP1,EDEM1,EHD1,EXOC1,EZR,FCER1G,FLNA,FLOT1,FMR1,GLRX,GLUL,GSTO1,GZMB,HCLS1,HIF1A,HLA-DRB1,HLA-F,HRAS,HSP90AB1,IL15,IL15RA,IL1B,IL2RG,ITGB1,ITGB2,JAK2,KCNN4,KHDRBS1,LAMP1,LGALS3,MEF2A,MLLT6,MSN,NCKAP1L,NDUFA4,NFE2L2,NFKBIA,NMB,OAZ1,OAZ2,P2RX4,PARK7,PDCD10,PGAP1,PINK1,PLK3,PPP3CC,PTPRC,RAB3GAP1,RAB5A,RAB7A,RAB8B,RAB9A,RDX,RGCC,S100A8,SAR1A,SDCBP,SERP1,SGK1,SH3GLB1,SIVA1,SNF8,SOD1,SORL1,SRI,STOM,STX18,TMEM30A,TOMM7,TRPV2,TSPO,UBE2D3,UBE2J2,VAMP8,WASL,YWHAB,YWHAQ
216	GO:0032760	1	positive regulation of tumor necrosis factor production	CCL3,CD14,DDX58,HLA-E,HSPB1,IFIH1,IFNGR1,JAK2,LGALS9,MYD88,OAS1,OAS2,OAS3,RIPK2,TMEM106A,TYROBP
217	GO:1903557	1	positive regulation of tumor necrosis factor superfamily cytokine production	CCL3,DDX58,HLA-E,HSPB1,IFIH1,JAK2,LGALS9,MYD88,OAS1,OAS2,OAS3,RIPK2,TMEM106A,TYROBP
218	GO:0032481	1	positive regulation of type I interferon production	CD14,DDX3X,DDX58,DHX58,DHX9,FLOT1,GAPDH,HMGB2,HSP90AA1,HSPD1,IFIH1,IRF1,IRF7,ISG15,MYD88,OAS1,OAS2,OAS3,PQBP1,RIPK2,STAT1,TBK1,TICAM1,TLR7,TRIM56,ZC3HAV1
219	GO:0012501	1	programmed cell death	ACTN1,ADA,ADAR,AIF1,AIM2,AKR1C3,AKT1S1,ANP32B,ANXA1,ANXA5,ARL6IP1,ARL6IP5,ARRB2,ASAH1,ATF3,ATG3,B4GALT1,BAD,BAG1,BAK1,BCL2L13,BCL2L14,BID,BIN1,BIRC2,BIRC3,BLOC1S2,BMPR2,BNIP3L,BRCA2,BTG1,BTG2,C1QBP,C3orf38,CALR,CAPN2,CARD16,CASP1,CASP10,CASP3,CASP4,CASP7,CASP8,CAST,CAT,CCL2,CCL3,CCL5,CCR7,CD14,CD2,CD27,CD38,CD3E,CD40,CD44,CD74,CDC73,CDKN1B,CDKN2D,CEBPB,CFL1,CFLAR,CHMP3,CIB1,CITED2,CORO1A,CREB3,CRIP1,CSRNP1,CTNNBL1,CTSB,CTSC,CTSD,CTSH,CTSL,CUL1,CXCL10,CXCR3,CXCR4,CYCS,CYLD,DAD1,DAP3,DDAH2,DDIT4,DDX3X,DDX5,DEDD2,DFFA,DHX9,DNAJA1,DNAJB6,DOCK8,DRAM1,DYNLL1,EGLN2,EI24,EIF2AK2,EIF5A,ELMO2,ENO1,ERP29,EVI2B,FAS,FLNA,GADD45B,GAPDH,GBE1,GCLM,GFER,GGCT,GIMAP8,GNAI3,GPX1,GPX4,GRINA,GRN,GSDMD,GSTP1,GZMB,HAX1,HCLS1,HDAC1,HDGF,HERPUD1,HIF1A,HINT1,HIPK2,HMGB1,HMGB2,HNRNPK,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPA5,HSPB1,HSPD1,ID3,IDO1,IER3,IFI16,IFI27,IFI6,IFIT2,IFIT3,IKBKE,IL1B,IL7R,IRF1,IRF7,ITGA4,ITGB1,ITGB2,ITM2C,IVNS1ABP,JAK2,JTB,JUN,LAMP1,LAMP3,LAPTM5,LCK,LGALS1,LGALS3,LGALS9,LGMN,LYN,MAEA,MAP1S,MAPK1,MAX,MCL1,MDK,MEF2A,MLKL,MNDA,MRPL41,MTCH1,MTFP1,MX1,MYC,MYD88,NAA16,NACA,NBN,NCF1,NCK1,NCKAP1L,NDUFA13,NFE2L2,NFKBIA,NINJ1,NISCH,NME1,NPM1,NUP62,P2RX4,PA2G4,PARK7,PDCD10,PDCD5,PDCD6,PDIA3,PELI1,PHB,PHB2,PHLDA1,PIM1,PIM2,PIM3,PINK1,PKM,PKN2,PLAC8,PLAUR,PLK3,PLSCR1,PMAIP1,PML,POR,PPIF,PPP1CA,PPP1R15A,PPP2R5C,PRDX2,PRDX3,PRDX5,PRF1,PRMT2,PSMC5,PSMG2,PTMA,PTPRC,RAD9A,RALB,RASSF5,RB1,RB1CC1,RBCK1,RELA,RGCC,RIPK1,RIPK2,RNF130,RPL10,RPL26,RPS27L,RPS3,RPS3A,RPS6,RPS6KA1,RPS7,RRAGC,RSL1D1,RTN4,S100A8,S100A9,SAP18,SDF2L1,SERPINB9,SET,SGK1,SH3GLB1,SH3KBP1,SHISA5,SIVA1,SLC25A5,SLC25A6,SNX6,SOCS3,SOD1,SOD2,SP100,SQSTM1,SRGN,SRSF6,ST3GAL1,STAT1,STK17A,STK17B,STK24,TAF9,TAX1BP1,TGFB1,TGFBR2,THOC1,THOC6,TIA1,TICAM1,TIMP1,TMBIM1,TMBIM6,TMEM109,TMEM219,TNFAIP3,TNFAIP8,TNFAIP8L1,TNFRSF1A,TNFRSF1B,TNFSF10,TOMM22,TOP1,TPT1,TRADD,TRAF3,TRIM69,TSC22D3,TSPO,TXNIP,TYROBP,UBB,UBE2B,UBE2D3,UBE2Z,UCP2,VAV1,VDAC1,VDAC2,XAF1,XBP1,YBX3,YME1L1,YWHAB,YWHAH,YWHAQ,ZBP1,ZDHHC16,ZFAND6,ZFP36,ZFP36L1
220	WP:WP5088	1	Prostaglandin signaling	CASP1,CCL2,CCL3,CXCL10,IL1B,IL8,IRF7,TGFB1
221	REAC:R-HSA-5218859	1	Regulated Necrosis	BAK1,BIRC2,BIRC3,CASP1,CASP3,CASP4,CASP8,CHMP3,FAS,FLOT1,GSDMD,GZMB,HMGB1,HSP90AA1,IL1B,IRF1,IRF2,MLKL,PELI1,RIPK1,RPS27A,SDCBP,TNFSF10,TRADD,UBB,UBC
222	GO:0002819	1	regulation of adaptive immune response	ADA,ADCY7,ANXA1,ARID5A,B2M,CD4,CD40,CD48,DENND1B,FAM49B,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HSPD1,IL7R,IRF1,IRF7,MR1,NDFIP1,PTPRC,RIF1,RIPK2,RSAD2,SAMSN1,STX7,TNFAIP3,TNFRSF14,TNFSF13B
